# What Luna created — new programs, skills, absorbed tools
# Date       | Type           | File        | Description
# ----------------------------------------------------------------------
2026-03-16 22:11 | absorbed tool  | to_lower.py  | Convert all keys in a JSON object to lowercase
2026-03-16 22:11 | evolved        | to_lower.py  | Convert all keys in a JSON object to lowercase
2026-03-16 22:21 | absorbed tool  | to_lower_list.py | Convert list of JSON strings to lowercase list
2026-03-16 22:21 | evolved        | to_lower_list.py | Convert list of JSON strings to lowercase list
2026-03-16 22:31 | absorbed tool  | trim_whitespace.py | Removes whitespace from each string in a JSON object
2026-03-16 22:31 | evolved        | trim_whitespace.py | Removes whitespace from each string in a JSON object
2026-03-16 22:41 | absorbed tool  | to_title_case.py | Converts input text to title case
2026-03-16 22:41 | evolved        | to_title_case.py | Converts input text to title case
2026-03-16 23:01 | absorbed tool  | words_count.py | Counts the number of unique words in a JSON array
2026-03-16 23:01 | evolved        | words_count.py | Counts the number of unique words in a JSON array
2026-03-16 23:15 | absorbed tool  | words_list_count.py | Count unique words in a JSON list
2026-03-16 23:15 | evolved        | words_list_count.py | Count unique words in a JSON list
2026-03-16 23:15 | absorbed tool  | to_lowercase_dict_values.py | Convert values in a JSON dictionary to lowercase
2026-03-16 23:15 | evolved        | to_lowercase_dict_values.py | Convert values in a JSON dictionary to lowercase
2026-03-16 23:41 | absorbed tool  | to_lowercase_dict_keys.py | convert dictionary keys to lowercase
2026-03-16 23:41 | evolved        | to_lowercase_dict_keys.py | convert dictionary keys to lowercase
2026-03-16 23:51 | absorbed tool  | dict_key_case.py | Convert dictionary keys to lowercase while keeping values unchanged
2026-03-16 23:51 | evolved        | dict_key_case.py | Convert dictionary keys to lowercase while keeping values unchanged
2026-03-17 00:01 | absorbed tool  | to_lowercase_dict_items.py | convert dict items' values to lowercase
2026-03-17 00:01 | evolved        | to_lowercase_dict_items.py | convert dict items' values to lowercase
2026-03-17 00:33 | absorbed tool  | json_sort_keys.py | Sorts keys of a JSON object in lexicographical order
2026-03-17 00:33 | evolved        | json_sort_keys.py | Sorts keys of a JSON object in lexicographical order
2026-03-17 00:48 | absorbed tool  | lowercase_dict_values.py | Convert dictionary values to lowercase
2026-03-17 00:48 | evolved        | lowercase_dict_values.py | Convert dictionary values to lowercase
2026-03-17 00:58 | absorbed tool  | dict_key_case_2.py | Changes keys in a dictionary to a specific case (lowercase/uppercase)
2026-03-17 00:58 | evolved        | dict_key_case_2.py | Changes keys in a dictionary to a specific case (lowercase/uppercase)
2026-03-17 01:08 | absorbed tool  | dict_key_case_from_values.py | Convert a dictionary's keys to lowercase based on case of corresponding values
2026-03-17 01:08 | evolved        | dict_key_case_from_values.py | Convert a dictionary's keys to lowercase based on case of corresponding values
2026-03-17 01:18 | absorbed tool  | to_lowercase_list_items.py | convert list items to lowercase in a JSON array element
2026-03-17 01:18 | evolved        | to_lowercase_list_items.py | convert list items to lowercase in a JSON array element
2026-03-17 01:28 | absorbed tool  | dict_values_lowercase.py | Convert all dictionary values to lowercase
2026-03-17 01:28 | evolved        | dict_values_lowercase.py | Convert all dictionary values to lowercase
2026-03-17 01:38 | absorbed tool  | to_lowercase_words_only.py | converts words in a JSON object to lowercase while keeping other values unchanged
2026-03-17 01:38 | evolved        | to_lowercase_words_only.py | converts words in a JSON object to lowercase while keeping other values unchanged
2026-03-17 01:48 | absorbed tool  | to_dict_case.py | Convert JSON key-value pairs to a dictionary with camel case keys
2026-03-17 01:48 | evolved        | to_dict_case.py | Convert JSON key-value pairs to a dictionary with camel case keys
2026-03-17 01:58 | absorbed tool  | sort_dict_keys_alphabetically.py | Sorts dictionary keys alphabetically in descending order
2026-03-17 01:58 | evolved        | sort_dict_keys_alphabetically.py | Sorts dictionary keys alphabetically in descending order
2026-03-17 02:09 | absorbed tool  | json_indent.py | Prints JSON with proper indentation
2026-03-17 02:09 | evolved        | json_indent.py | Prints JSON with proper indentation
2026-03-17 02:29 | absorbed tool  | dict_key_case_all.py | Convert all keys in a dictionary to lowercase
2026-03-17 02:29 | evolved        | dict_key_case_all.py | Convert all keys in a dictionary to lowercase
2026-03-17 02:39 | absorbed tool  | dict_key_case_ignore.py | Convert JSON keys to lowercase while ignoring case-insensitive matches
2026-03-17 02:39 | evolved        | dict_key_case_ignore.py | Convert JSON keys to lowercase while ignoring case-insensitive matches
2026-03-17 02:59 | absorbed tool  | to_lowercase_dict_items_only.py | prints the lowercase values of dictionary items without keys
2026-03-17 02:59 | evolved        | to_lowercase_dict_items_only.py | prints the lowercase values of dictionary items without keys
2026-03-17 03:09 | absorbed tool  | dict_key_case_list.py | Print keys in a list case
2026-03-17 03:09 | evolved        | dict_key_case_list.py | Print keys in a list case
2026-03-17 03:19 | absorbed tool  | dict_key_case_all_except_first.py | Convert keys in a dictionary to all caps except for the first one, which remains unchanged
2026-03-17 03:19 | evolved        | dict_key_case_all_except_first.py | Convert keys in a dictionary to all caps except for the first one, which remains unchanged
2026-03-17 03:29 | absorbed tool  | dict_key_case_regex.py | Capitalizes keys in a dictionary using regular expressions
2026-03-17 03:29 | evolved        | dict_key_case_regex.py | Capitalizes keys in a dictionary using regular expressions
2026-03-17 03:39 | absorbed tool  | dict_key_case_limit.py | Limit words in key to a specified length when using dict_key_case
2026-03-17 03:39 | evolved        | dict_key_case_limit.py | Limit words in key to a specified length when using dict_key_case
2026-03-17 03:49 | absorbed tool  | dict_case_around_value.py | Convert dictionary keys to case around specific values
2026-03-17 03:49 | evolved        | dict_case_around_value.py | Convert dictionary keys to case around specific values
2026-03-17 03:59 | absorbed tool  | capitalize_first_word.py | Capitalize the first word of each value in a dictionary
2026-03-17 03:59 | evolved        | capitalize_first_word.py | Capitalize the first word of each value in a dictionary
2026-03-17 04:09 | absorbed tool  | dict_key_case_with_space.py | Converts dictionary keys to lowercase with spaces instead of underscores
2026-03-17 04:09 | evolved        | dict_key_case_with_space.py | Converts dictionary keys to lowercase with spaces instead of underscores
2026-03-17 04:19 | absorbed tool  | dict_case_all_except_first.py | Convert dictionary values to a specific case while keeping the first value unchanged
2026-03-17 04:19 | evolved        | dict_case_all_except_first.py | Convert dictionary values to a specific case while keeping the first value unchanged
2026-03-17 04:29 | absorbed tool  | dict_key_case_from_values.py | converts dict keys to lowercase while keeping values unchanged
2026-03-17 04:29 | evolved        | dict_key_case_from_values.py | converts dict keys to lowercase while keeping values unchanged
2026-03-17 04:39 | absorbed tool  | dict_key_case_everywhere.py | Convert all dictionary keys to a specific case
2026-03-17 04:39 | evolved        | dict_key_case_everywhere.py | Convert all dictionary keys to a specific case
2026-03-17 04:49 | absorbed tool  | dict_case_everywhere_except_first.py | Convert all values in a dictionary to a specified case, except for the first key
2026-03-17 04:49 | evolved        | dict_case_everywhere_except_first.py | Convert all values in a dictionary to a specified case, except for the first key
2026-03-17 04:59 | absorbed tool  | dict_key_case_except_first_values.py | Convert dictionary key values to a case (except for first value)
2026-03-17 04:59 | evolved        | dict_key_case_except_first_values.py | Convert dictionary key values to a case (except for first value)
2026-03-17 05:19 | absorbed tool  | dict_key_case_with_space.py | Capitalizes keys in a dictionary with spaces
2026-03-17 05:19 | evolved        | dict_key_case_with_space.py | Capitalizes keys in a dictionary with spaces
2026-03-17 05:29 | absorbed tool  | dict_key_case_ignore_case.py | Change keys in a dictionary to ignore case while maintaining original value
2026-03-17 05:29 | evolved        | dict_key_case_ignore_case.py | Change keys in a dictionary to ignore case while maintaining original value
2026-03-17 05:39 | absorbed tool  | dict_key_case_except_first_values.py | Lowercases all values in a dictionary except for the first one
2026-03-17 05:39 | evolved        | dict_key_case_except_first_values.py | Lowercases all values in a dictionary except for the first one
2026-03-17 05:49 | absorbed tool  | dict_case_except_first_values_list.py | Convert dictionary values to a list with case adjustment except for first element
2026-03-17 05:49 | evolved        | dict_case_except_first_values_list.py | Convert dictionary values to a list with case adjustment except for first element
2026-03-17 05:59 | absorbed tool  | dict_case_always.py | Convert all dictionary values to a specific case
2026-03-17 05:59 | evolved        | dict_case_always.py | Convert all dictionary values to a specific case
2026-03-17 06:19 | absorbed tool  | dict_values_first_lowercase.py | prints dictionary values in lowercase until first uppercase value
2026-03-17 06:19 | evolved        | dict_values_first_lowercase.py | prints dictionary values in lowercase until first uppercase value
2026-03-17 06:29 | absorbed tool  | dict_values_first_lowercase_except_dict_.py | convert all dictionary values to lowercase except those that are not keys
2026-03-17 06:29 | evolved        | dict_values_first_lowercase_except_dict_.py | convert all dictionary values to lowercase except those that are not keys
2026-03-17 06:39 | absorbed tool  | dict_values_first_lowercase_except_dict_.py | Lowercase all values except those within dictionaries
2026-03-17 06:39 | evolved        | dict_values_first_lowercase_except_dict_.py | Lowercase all values except those within dictionaries
2026-03-17 06:49 | absorbed tool  | add_prefix_to_values.py | adds a prefix to dictionary values except for specified lists of values
2026-03-17 06:49 | evolved        | add_prefix_to_values.py | adds a prefix to dictionary values except for specified lists of values
2026-03-17 07:09 | absorbed tool  | dict_values_lowercase_except_dict_.py | Convert dictionary values to lowercase except for those inside a specific nested dictionary
2026-03-17 07:09 | evolved        | dict_values_lowercase_except_dict_.py | Convert dictionary values to lowercase except for those inside a specific nested dictionary
2026-03-17 07:19 | absorbed tool  | remove_default_values.py | Remove default values from a JSON object
2026-03-17 07:19 | evolved        | remove_default_values.py | Remove default values from a JSON object
2026-03-17 07:29 | absorbed tool  | dict_values_first_lowercase_except_list.py | Converts dictionary values to lowercase except for a specified list of keys
2026-03-17 07:29 | evolved        | dict_values_first_lowercase_except_list.py | Converts dictionary values to lowercase except for a specified list of keys
2026-03-17 07:39 | absorbed tool  | dict_values_first_underscores.py | Convert values in a dictionary to underscores instead of dots
2026-03-17 07:39 | evolved        | dict_values_first_underscores.py | Convert values in a dictionary to underscores instead of dots
2026-03-17 07:50 | absorbed tool  | dict_values_first_underscores_always.py | Convert dictionary values to underscores and lowercase
2026-03-17 07:50 | evolved        | dict_values_first_underscores_always.py | Convert dictionary values to underscores and lowercase
2026-03-17 08:00 | absorbed tool  | dict_values_lower_except_dict_.py | Lowercase values except those inside dictionaries
2026-03-17 08:00 | evolved        | dict_values_lower_except_dict_.py | Lowercase values except those inside dictionaries
2026-03-17 08:20 | absorbed tool  | dict_values_lowercase_except_set.py | Convert dictionary values to lowercase except for sets
2026-03-17 08:20 | evolved        | dict_values_lowercase_except_set.py | Convert dictionary values to lowercase except for sets
2026-03-17 08:30 | absorbed tool  | remove_prefix_from_values.py | Remove prefix from values in a dictionary
2026-03-17 08:30 | evolved        | remove_prefix_from_values.py | Remove prefix from values in a dictionary
2026-03-17 08:40 | absorbed tool  | remove_prefix_from_values.py | Removes prefix from all values in a dictionary
2026-03-17 08:40 | evolved        | remove_prefix_from_values.py | Removes prefix from all values in a dictionary
2026-03-17 08:50 | absorbed tool  | dict_values_first_underscores_always_lis.py | converts list values to lowercase underscores in dictionary keys
2026-03-17 08:50 | evolved        | dict_values_first_underscores_always_lis.py | converts list values to lowercase underscores in dictionary keys
2026-03-17 09:00 | absorbed tool  | dict_values_last_lowercase.py | Convert values in a dictionary to lowercase except for specific ones
2026-03-17 09:00 | evolved        | dict_values_last_lowercase.py | Convert values in a dictionary to lowercase except for specific ones
2026-03-17 09:10 | absorbed tool  | remove_suffix_from_values.py | Removes a specified suffix from values in a dictionary
2026-03-17 09:10 | evolved        | remove_suffix_from_values.py | Removes a specified suffix from values in a dictionary
2026-03-17 09:20 | absorbed tool  | to_dict.py   | Convert JSON stdin to Python dict
2026-03-17 09:20 | evolved        | to_dict.py   | Convert JSON stdin to Python dict
2026-03-17 09:30 | absorbed tool  | remove_empty_values.py | Removes empty values from a JSON object
2026-03-17 09:30 | evolved        | remove_empty_values.py | Removes empty values from a JSON object
2026-03-17 09:40 | absorbed tool  | dict_values_first_underscores_always_low.py | Convert all values to lowercase and underscores to single characters
2026-03-17 09:40 | evolved        | dict_values_first_underscores_always_low.py | Convert all values to lowercase and underscores to single characters
2026-03-17 09:50 | absorbed tool  | dict_values_first_underscores_always_cas.py | Convert dictionary values to caseless while keeping keys unchanged
2026-03-17 09:50 | evolved        | dict_values_first_underscores_always_cas.py | Convert dictionary values to caseless while keeping keys unchanged
2026-03-17 10:00 | absorbed tool  | dict_values_lowercase_except_dict_.py | Convert dictionary values to lowercase except for dictionary keys
2026-03-17 10:00 | evolved        | dict_values_lowercase_except_dict_.py | Convert dictionary values to lowercase except for dictionary keys
2026-03-17 10:10 | absorbed tool  | remove_values_from_dict.py | removes specified values from all dictionary keys
2026-03-17 10:10 | evolved        | remove_values_from_dict.py | removes specified values from all dictionary keys
2026-03-17 10:20 | absorbed tool  | dict_values_first_lowercase_except_list.py | Lowercase dictionary values except for those in a specified list
2026-03-17 10:20 | evolved        | dict_values_first_lowercase_except_list.py | Lowercase dictionary values except for those in a specified list
2026-03-17 10:40 | absorbed tool  | dict_values_to_lowercase_except_list.py | Converts dictionary values to lowercase except for list values
2026-03-17 10:40 | evolved        | dict_values_to_lowercase_except_list.py | Converts dictionary values to lowercase except for list values
2026-03-17 10:51 | absorbed tool  | dict_values_last_lowercase.py | Print all values in a dictionary with the last character lowercased
2026-03-17 10:51 | evolved        | dict_values_last_lowercase.py | Print all values in a dictionary with the last character lowercased
2026-03-17 11:01 | absorbed tool  | dict_values_lowercase_except_first_list.py | Convert dictionary values to lowercase except for the first element in a list value
2026-03-17 11:01 | evolved        | dict_values_lowercase_except_first_list.py | Convert dictionary values to lowercase except for the first element in a list value
2026-03-17 11:11 | absorbed tool  | dict_values_first_underscores_always_lis.py | Convert values in a dictionary to underscores if they start with uppercase letters
2026-03-17 11:11 | evolved        | dict_values_first_underscores_always_lis.py | Convert values in a dictionary to underscores if they start with uppercase letters
2026-03-17 11:21 | absorbed tool  | remove_quotes_from_values.py | Remove double quotes from values in a JSON object
2026-03-17 11:21 | evolved        | remove_quotes_from_values.py | Remove double quotes from values in a JSON object
2026-03-17 11:31 | absorbed tool  | uppercase_first_word.py | Uppercase the first word in each value of a dictionary
2026-03-17 11:31 | evolved        | uppercase_first_word.py | Uppercase the first word in each value of a dictionary
2026-03-17 11:44 | absorbed tool  | trim_values.py | Removes leading/trailing whitespace from values in a JSON object
2026-03-17 11:44 | evolved        | trim_values.py | Removes leading/trailing whitespace from values in a JSON object
2026-03-17 11:54 | absorbed tool  | remove_quotes.py | Removes all double quotes from a JSON object
2026-03-17 11:54 | evolved        | remove_quotes.py | Removes all double quotes from a JSON object
2026-03-17 12:04 | absorbed tool  | dict_keys_case.py | Converts dictionary keys to a specified case
2026-03-17 12:04 | evolved        | dict_keys_case.py | Converts dictionary keys to a specified case
2026-03-17 12:14 | absorbed tool  | dict_values_first_lowercase_except_dict_.py | Convert dictionary values to lowercase except for dictionary values
